average sequence length: 56.86
Traceback (most recent call last):
  File "main.py", line 95, in <module>
    pos_logits, neg_logits = model(u, seq, pos, neg)
  File "/home/hajar.laktaoui/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 722, in _call_impl
    result = self.forward(*input, **kwargs)
  File "/home/hajar.laktaoui/ImplementationFolder/SASRec.pytorch/model.py", line 102, in forward
    log_feats = self.log2feats(log_seqs) # user_ids hasn't been used yet
  File "/home/hajar.laktaoui/ImplementationFolder/SASRec.pytorch/model.py", line 70, in log2feats
    row_str = ' '.join(map(str, row.cpu().numpy()))
RuntimeError: Can't call numpy() on Tensor that requires grad. Use tensor.detach().numpy() instead.
average sequence length: 56.86
average sequence length: 56.86
average sequence length: 56.86
loss in epoch 2 iteration 55: 1.2340515851974487
loss in epoch 2 iteration 56: 1.2168586254119873
loss in epoch 2 iteration 57: 1.2030197381973267
loss in epoch 3 iteration 0: 1.2034763097763062
loss in epoch 3 iteration 1: 1.2510104179382324
loss in epoch 3 iteration 2: 1.202216625213623
loss in epoch 3 iteration 3: 1.215447187423706
loss in epoch 3 iteration 4: 1.2202935218811035
loss in epoch 3 iteration 5: 1.2058079242706299
loss in epoch 3 iteration 6: 1.2085723876953125
loss in epoch 3 iteration 7: 1.19443678855896
loss in epoch 3 iteration 8: 1.233173131942749
loss in epoch 3 iteration 9: 1.2227195501327515
loss in epoch 3 iteration 10: 1.2140820026397705
loss in epoch 3 iteration 11: 1.1823935508728027
loss in epoch 3 iteration 12: 1.211081624031067
loss in epoch 3 iteration 13: 1.1731572151184082
loss in epoch 3 iteration 14: 1.2178181409835815
loss in epoch 3 iteration 15: 1.1971148252487183
loss in epoch 3 iteration 16: 1.2218072414398193
loss in epoch 3 iteration 17: 1.1885976791381836
loss in epoch 3 iteration 18: 1.1889705657958984
loss in epoch 3 iteration 19: 1.1922125816345215
loss in epoch 3 iteration 20: 1.1678190231323242
loss in epoch 3 iteration 21: 1.181649923324585
loss in epoch 3 iteration 22: 1.2011981010437012
loss in epoch 3 iteration 23: 1.1900382041931152
loss in epoch 3 iteration 24: 1.1866965293884277
